name,price,description,img,category
水晶柠檬片65g,14.7,小零食,http://img3x4.ddimg.cn/87/18/60638874-1_b_1.jpg,0
小米锅巴烧烤味 80g,10.5,小零食,http://img3x4.ddimg.cn/2/16/61864904-1_b_1.jpg,0
综合蔬果条 90g,24.9,小零食,http://img3x3.ddimg.cn/39/14/61871673-1_b_1.jpg,0
玉米片 海苔味 75g,10.4,小零食,http://img3x5.ddimg.cn/60/19/61870605-1_b_1.jpg,0
拉面丸子（麻辣味） 50g,6.2,小零食,http://img3x5.ddimg.cn/41/16/61871675-1_b_1.jpg,0
山药片（香辣味） 45g,4.6,小零食,http://img3x7.ddimg.cn/68/20/61872197-1_b_1.jpg,0
番茄味薯条 90g,9.9,小零食,http://img3x9.ddimg.cn/60/12/61872189-1_b_1.jpg,0
原味薯条90g,21.1,小零食,http://img3x4.ddimg.cn/59/18/61870604-1_b_1.jpg,0
糯米锅巴 原味 280g,24.9,小零食,http://img3x7.ddimg.cn/33/8/61871667-1_b_1.jpg,0
秋葵脆 50g,24.2,小零食,http://img3x0.ddimg.cn/36/11/61871670-1_b_1.jpg,0
海苔卷（原味）30g,26.3,小零食,http://img3x6.ddimg.cn/61/20/61870606-1_b_1.jpg,0
糯米锅巴 香辣味 280g,24.9,小零食,http://img3x8.ddimg.cn/34/9/61871668-1_b_1.jpg,0
综合蔬果条 90g,22.9,小零食,http://img3x0.ddimg.cn/71/23/61872200-1_b_1.jpg,0
香辣卤藕 180g,19.9,小零食,http://img3x6.ddimg.cn/67/19/61872196-1_b_1.jpg,0
紫薯条  90g,19.9,小零食,http://img3x6.ddimg.cn/32/7/61871666-1_b_1.jpg,0
巴旦木夹心海苔脆片 40g,21.8,小零食,http://img3x1.ddimg.cn/98/13/61864901-1_b_1.jpg,0
山楂卷 228g,6.5,小零食,http://img3x0.ddimg.cn/61/13/61872190-1_b_1.jpg,0
泡椒脆笋 200g,7.9,小零食,http://img3x5.ddimg.cn/66/18/61872195-1_b_1.jpg,0
山楂条 228g,12.9,小零食,http://img3x1.ddimg.cn/62/14/61872191-1_b_1.jpg,0
卤香味鹌鹑蛋128g,28.4,小零食,http://img3x1.ddimg.cn/73/35/60640741-1_b_1.jpg,0
蔬果条（芋头条） 90g,25.9,小零食,http://img3x9.ddimg.cn/70/22/61872199-1_b_1.jpg,0
我们仨/杨绛作品,18.1,一百零五岁的杨绛，以简洁而沉重的语言，回忆了女儿钱瑗、丈夫钱钟书，一家三口那些快乐而艰难、爱与痛的日子。故事证明：家庭是人生的庇护所。,http://img14.360buyimg.com/n7/jfs/t1543/143/360365215/354050/8ee304f5/5577dd14N1e66fcf6.jpg,1
以自己喜欢的方式过一生,21.8,要有朴素的生活和遥远的梦想，做个寡言却心有一片海的人,http://img11.360buyimg.com/n7/g14/M06/09/12/rBEhVVIDAoIIAAAAAAlgx8RE78oAAB35gIPMYkACWDf084.jpg,1
不烦不累扫一屋（教你变成建筑物清扫技能士）,26.1,图书,http://img14.360buyimg.com/n7/jfs/t3871/52/2677620189/141396/a1d382e1/58ae7bc2N61f24b2c.jpg,1
疲惫生活中的英雄梦想,24.9,中国阅读类领军公众号“十点读书”原创作品集，李筱懿、林特特、宋小君、午歌、魔云兽等37位作家，心尖好文+好书推荐！送6张“英雄梦想·西藏行”明信片,http://img10.360buyimg.com/n7/jfs/t1141/180/1125115394/188820/de4dbc4b/55cdb167N867d9537.jpg,1
不畏将来·不念过去——《我的前半生》演员张龄心 诚意推荐,21.2,生活的残忍原来不是因为它蛮横霸道，而是它总会来挑战你那些不想为人知的苦难。每个女人的血液里都藏有阿修罗，看到婚姻的残酷才懂如何相守。不畏将来不念过去，很喜欢这句话也很喜欢这本书，送给《我的前半生》,http://img12.360buyimg.com/n7/g10/M00/17/11/rBEQWVFzR4kIAAAAAAN3GPh71qEAAEmawMY-q4AA3cw300.jpg,1
生活十讲,34.6,惠动金秋，书香有礼！30万种自营好书每满100减40！每天10点限量发放满120减20优惠券！立即抢券>,http://img14.360buyimg.com/n7/jfs/t5746/77/5696368728/130470/3036cb5b/59646ffcNfa023355.jpg,1
于丹：中国人的生活之美,58.3,用自在悠然的方式，从容踏上人生之旅。读一首诗，捧一盏茶，体味中国人的雅致与风度。,http://img10.360buyimg.com/n7/jfs/t4741/98/1405082013/436885/2555f8c/58f046f2N34d8c4d0.jpg,1
去过自己想要的生活（附书签+明信片）,23.2,惠动金秋，书香有礼！30万种自营好书每满100减40！每天10点限量发放满120减20优惠券！立即抢券>,http://img11.360buyimg.com/n7/jfs/t1060/9/1077743228/332742/7c3fdfe9/55719916N951c5e9c.jpg,1
韩寒 我所理解的生活,21.8,三十岁的男人开始系统地思考关于生活的一切，韩寒难得如此诚恳,http://img11.360buyimg.com/n7/jfs/t6037/120/718455445/247989/9d5c0576/592bf166N1221919e.jpg,1
疲惫生活中的英雄梦想,22,图书,http://img12.360buyimg.com/n7/jfs/t9946/219/293148135/354539/90a7a51a/59cb4c5cN13dcf272.png,1
